"category","full_name","prize_year","age"
"Chemistry","Jacobus Henricus van 't Hoff",1901,49
"Literature","Sully Prudhomme",1901,62
"Medicine","Emil Adolf von Behring",1901,47
"Peace","Jean Henry Dunant",1901,73
"Peace","Frédéric Passy",1901,79
"Physics","Wilhelm Conrad Röntgen",1901,56
"Chemistry","Hermann Emil Fischer",1902,50
"Literature","Christian Matthias Theodor Mommsen",1902,85
"Medicine","Ronald Ross",1902,45
"Peace","Élie Ducommun",1902,69
"Peace","Charles Albert Gobat",1902,59
"Physics","Hendrik Antoon Lorentz",1902,49
"Physics","Pieter Zeeman",1902,37
"Chemistry","Svante August Arrhenius",1903,44
"Literature","Bjørnstjerne Martinus Bjørnson",1903,71
"Medicine","Niels Ryberg Finsen",1903,43
"Peace","William Randal Cremer",1903,75
"Physics","Antoine Henri Becquerel",1903,51
"Physics","Pierre Curie",1903,44
"Physics","Marie Curie, née Sklodowska",1903,36
"Chemistry","Sir William Ramsay",1904,52
"Literature","Frédéric Mistral",1904,74
"Literature","José Echegaray y Eizaguirre",1904,72
"Medicine","Ivan Petrovich Pavlov",1904,55
"Peace","Institut de droit international (Institute of International Law)",1904,NA
"Physics","Lord Rayleigh (John William Strutt)",1904,62
"Chemistry","Johann Friedrich Wilhelm Adolf von Baeyer",1905,70
"Literature","Henryk Sienkiewicz",1905,59
"Medicine","Robert Koch",1905,62
"Peace","Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",1905,62
"Physics","Philipp Eduard Anton von Lenard",1905,43
"Chemistry","Henri Moissan",1906,54
"Literature","Giosuè Carducci",1906,71
"Medicine","Camillo Golgi",1906,63
"Medicine","Santiago Ramón y Cajal",1906,54
"Peace","Theodore Roosevelt",1906,48
"Physics","Joseph John Thomson",1906,50
"Chemistry","Eduard Buchner",1907,47
"Literature","Rudyard Kipling",1907,42
"Medicine","Charles Louis Alphonse Laveran",1907,62
"Peace","Ernesto Teodoro Moneta",1907,74
"Peace","Louis Renault",1907,64
"Physics","Albert Abraham Michelson",1907,55
"Chemistry","Ernest Rutherford",1908,37
"Literature","Rudolf Christoph Eucken",1908,62
