epi_week,date,Count
2023-08,2/19/23,4471
2023-09,2/26/23,4426
2023-10,3/5/23,10352
2023-11,3/12/23,10464
2023-12,3/19/23,14467
2023-13,3/26/23,28410
2023-14,4/2/23,16018
2023-15,4/9/23,26072
2023-16,4/16/23,27818
2023-17,4/23/23,23157
2023-18,4/30/23,22476
2023-19,5/7/23,23531
2023-20,5/14/23,20767
2023-21,5/21/23,14851
2023-22,5/28/23,8531
2023-23,6/4/23,10432
2023-24,6/11/23,6717
2023-25,6/18/23,6882
2023-26,6/25/23,4302
2023-27,7/2/23,8544
2023-28,7/9/23,5632
2023-29,7/16/23,4738
2023-30,7/23/23,4951
2023-31,7/30/23,3485
2023-32,8/6/23,4951
2023-33,8/13/23,7045
2023-34,8/20/23,6650
2023-35,8/27/23,4295
2023-36,9/3/23,7248
2023-37,9/10/23,6401
2023-38,9/17/23,14843
2023-39,9/24/23,15336
2023-40,10/1/23,16250
2023-41,10/8/23,14801
2023-42,10/15/23,17123
2023-43,10/22/23,16062
2023-44,10/29/23,16395
2023-45,11/5/23,15441
2023-46,11/12/23,10726
2023-47,11/19/23,22094
2023-48,11/26/23,32035
2023-49,12/3/23,56043
2023-50,12/10/23,58300
2023-51,12/17/23,39100
2023-52,12/24/23,21200
2024-01,12/31/23,19800
2024-02,1/7/24,12200
2024-03,1/14/24,10700
2024-04,1/21/24,5880
2024-05,1/28/24,4370
2024-06,2/4/24,3000
2024-07,2/11/24,2040
